"Source:","/home/greg/projects/ButterStick/hardware/ButterStick/ButterStick.sch"
"Date:","Thu 21 Mar 2019 17:45:17 ACDT"
"Tool:","Eeschema 5.1.0-060a0da~80~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","181"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MFG","Mfg","PN","SN-DK","Tol"
"","","C1","4.7uF","Device:C","pkl_dipol:C_0603","~","","Samsung Electro-Mechanics","CL10A475KP8NNNC","",""
"","","C2","100nF","Device:C","pkl_dipol:C_0402","~","","Samsung Electro-Mechanics","CL05B104KP5NNNC","",""
"","","C3","1uF","Device:C","pkl_dipol:C_0402","","","Samsung Electro-Mechanics","CL05A105KP5NNNC","445-13185-1-ND",""
"","","C4","1uF","Device:C","pkl_dipol:C_0402","","","Samsung Electro-Mechanics","CL05A105KP5NNNC","445-13185-1-ND",""
"","","C5","1uF","Device:C","pkl_dipol:C_0402","","","Samsung Electro-Mechanics","CL05A105KP5NNNC","445-13185-1-ND",""
"","","C6","100nF","Device:C","pkl_dipol:C_0402","","","","CL05B104KP5NNNC","1276-1002-1-ND",""
"","","C7","100nF","Device:C","pkl_dipol:C_0402","","","","CL05B104KP5NNNC","1276-1002-1-ND",""
"","","C8","100nF","Device:C","pkl_dipol:C_0402","","","","CL05B104KP5NNNC","1276-1002-1-ND",""
"","","C9","100nF","Device:C","pkl_dipol:C_0402","","","","CL05B104KP5NNNC","1276-1002-1-ND",""
"","","C10","100nF","Device:C","pkl_dipol:C_0402","","","","CL05B104KP5NNNC","1276-1002-1-ND",""
"","","C11","10uF","Device:C","pkl_dipol:C_0603","","","","CL10A106MP8NNNC","445-7486-1-ND",""
"","","C12","4.7uF","Device:C","pkl_dipol:C_0603","~","","Samsung Electro-Mechanics","CL10A475KP8NNNC","",""
"","","C13","10uF","Device:C","pkl_dipol:C_0603","","","","CL10A106MP8NNNC","445-7486-1-ND",""
"","","C14","10uF","Device:C","pkl_dipol:C_0603","","","","CL10A106MP8NNNC","445-7486-1-ND",""
"","","C15","100nF","Device:C","pkl_dipol:C_0402","","","","CL05B104KP5NNNC","1276-1002-1-ND",""
"","","C16","100nF","Device:C","pkl_dipol:C_0402","","","","CL05B104KP5NNNC","1276-1002-1-ND",""
"","","C17","100nF","Device:C","pkl_dipol:C_0402","","","","CL05B104KP5NNNC","1276-1002-1-ND",""
"","","C18","100nF","Device:C","pkl_dipol:C_0402","","","","CL05B104KP5NNNC","1276-1002-1-ND",""
"","","C19","100nF","Device:C","pkl_dipol:C_0402","","","","CL05B104KP5NNNC","1276-1002-1-ND",""
"","","C20","100nF","Device:C","pkl_dipol:C_0402","","","","CL05B104KP5NNNC","1276-1002-1-ND",""
"","","C21","100nF","Device:C","pkl_dipol:C_0402","","","","CL05B104KP5NNNC","1276-1002-1-ND",""
"","","C22","100nF","Device:C","pkl_dipol:C_0402","","","","CL05B104KP5NNNC","1276-1002-1-ND",""
"","","C23","100nF","Device:C","pkl_dipol:C_0402","","","","CL05B104KP5NNNC","1276-1002-1-ND",""
"","","C24","4.7uF","Device:C","pkl_dipol:C_0603","~","","Samsung Electro-Mechanics","CL10A475KP8NNNC","",""
"","","C25","100nF","Device:C","pkl_dipol:C_0402","~","","Samsung Electro-Mechanics","CL05B104KP5NNNC","",""
"","","C26","100nF","Device:C","pkl_dipol:C_0402","~","","Samsung Electro-Mechanics","CL05B104KP5NNNC","",""
"","","C27","100nF","Device:C","pkl_dipol:C_0402","~","","Samsung Electro-Mechanics","CL05B104KP5NNNC","",""
"","","C28","100nF","Device:C","pkl_dipol:C_0402","~","","Samsung Electro-Mechanics","CL05B104KP5NNNC","",""
"","","C29","100nF","Device:C","pkl_dipol:C_0402","~","","Samsung Electro-Mechanics","CL05B104KP5NNNC","",""
"","","C30","100nF","Device:C","pkl_dipol:C_0402","~","","Samsung Electro-Mechanics","CL05B104KP5NNNC","",""
