Ref,Val,Package,PosX,PosY,Rot,Side
"C4","0.1uF","C_0402_1005Metric",-56.050000,-22.750000,90.000000,bottom
"C5","0.1uF","C_0402_1005Metric",-61.550000,-22.750000,90.000000,bottom
"C6","0.01uF","C_0402_1005Metric",-55.050000,-19.000000,180.000000,bottom
"C7","0.1uF","C_0402_1005Metric",-55.050000,-17.750000,0.000000,bottom
"C8","0.1uF","C_0402_1005Metric",-55.050000,-19.900000,180.000000,bottom
"C9","0.1uF","C_0402_1005Metric",-62.650000,-20.250000,180.000000,bottom
"C13","0.1uF","C_0402_1005Metric",-55.050000,-16.750000,0.000000,bottom
"C14","0.1uF","C_0402_1005Metric",-62.650000,-16.750000,180.000000,bottom
"C15","0.1uF","C_0402_1005Metric",-62.650000,-19.250000,180.000000,bottom
"C16","0.1uF","C_0402_1005Metric",-57.550000,-22.750000,90.000000,bottom
"C17","0.1uF","C_0402_1005Metric",-60.050000,-22.750000,90.000000,bottom
"C21","0.1uF","C_0402_1005Metric",-48.225000,-16.750000,0.000000,bottom
"C22","0.1uF","C_0402_1005Metric",-47.050000,-26.700000,0.000000,bottom
"C23","0.47uF","C_0402_1005Metric",-25.950000,-19.250000,180.000000,bottom
"C24","0.1uF","C_0402_1005Metric",-27.350000,-19.700000,-90.000000,bottom
"C25","0.47uF","C_0402_1005Metric",-24.450000,-24.250000,0.000000,bottom
"C26","0.1uF","C_0402_1005Metric",-24.850000,-22.900000,90.000000,bottom
"C27","0.47uF","C_0402_1005Metric",-23.900000,-22.000000,-90.000000,bottom
"C28","0.1uF","C_0402_1005Metric",-24.900000,-20.550000,90.000000,bottom
"C29","4.7uF","C_0402_1005Metric",-44.100000,-37.200000,90.000000,bottom
"C30","0.47uF","C_0402_1005Metric",-13.650000,-27.200000,-90.000000,bottom
"C31","4.7uF","C_0402_1005Metric",-29.900000,-41.500000,0.000000,bottom
"C32","0.1uF","C_0402_1005Metric",-26.175000,-25.600000,180.000000,bottom
"C33","1uF","C_0402_1005Metric",-31.600000,-22.500000,180.000000,bottom
"C34","1uF","C_0402_1005Metric",-31.600000,-24.100000,0.000000,bottom
"C35","1uF","C_0402_1005Metric",-49.100000,-33.500000,180.000000,bottom
"C36","1uF","C_0402_1005Metric",-39.400000,-26.650000,180.000000,bottom
"C37","1uF","C_0402_1005Metric",-41.100000,-27.100000,-90.000000,bottom
"C38","0.1uF","C_0402_1005Metric",-24.275000,-25.525000,0.000000,bottom
"C39","0.1uF","C_0402_1005Metric",-30.850000,-25.550000,180.000000,bottom
"C40","0.1uF","C_0402_1005Metric",-31.200000,-19.700000,-90.000000,bottom
"C41","10uF","C_0603_1608Metric",-31.700000,-39.600000,-90.000000,bottom
"C42","0.1uF","C_0402_1005Metric",-26.400000,-21.250000,-90.000000,bottom
"C43","0.47uF","C_0402_1005Metric",-27.600000,-21.650000,-90.000000,bottom
"C44","0.1uF","C_0402_1005Metric",-29.200000,-21.750000,180.000000,bottom
"C45","0.47uF","C_0402_1005Metric",-29.600000,-20.400000,90.000000,bottom
"C46","0.1uF","C_0402_1005Metric",-29.200000,-22.650000,180.000000,bottom
"C47","0.47uF","C_0402_1005Metric",-26.400000,-24.225000,90.000000,bottom
"C48","0.1uF","C_0402_1005Metric",-29.150000,-23.700000,180.000000,bottom
"C49","0.47uF","C_0402_1005Metric",-29.200000,-25.150000,-90.000000,bottom
"C50","0.1uF","C_0402_1005Metric",-28.550000,-20.400000,90.000000,bottom
"C51","0.47uF","C_0402_1005Metric",-27.600000,-24.225000,90.000000,bottom
"C53","0.1uF","C_0402_1005Metric",-27.850000,-6.400000,90.000000,bottom
"C54","6.8pF","C_0402_1005Metric",-38.000000,-37.400000,0.000000,bottom
"C55","10uF","C_0603_1608Metric",-24.000000,-41.700000,180.000000,bottom
"C56","0.1uF","C_0402_1005Metric",-13.600000,-13.500000,0.000000,bottom
"C57","10uF","C_0603_1608Metric",-23.100000,-39.500000,-90.000000,bottom
"C58","22uF","C_0603_1608Metric",-36.200000,-37.400000,-90.000000,bottom
"C59","22uF","C_0603_1608Metric",-33.200000,-39.600000,-90.000000,bottom
"C60","4.7uF","C_0402_1005Metric",-28.150000,-28.650000,90.000000,bottom
"C61","4.7uF","C_0402_1005Metric",-55.342500,-27.342500,-90.000000,bottom
"C62","4.7uF","C_0402_1005Metric",-32.050000,-27.650000,-90.000000,bottom
"C63","0.1uF","C_0402_1005Metric",-44.200000,-39.700000,0.000000,bottom
"C68","1uF","C_0402_1005Metric",-24.000000,-19.700000,-90.000000,bottom
"C71","0.1uF","C_0402_1005Metric",-10.750000,-32.700000,0.000000,bottom
