Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",64.900000,-14.300000,180.000000,top
"C2","1uF","C_0402_1005Metric",66.700000,-6.300000,0.000000,top
"C3","1uF","C_0402_1005Metric",70.300000,-10.600000,0.000000,top
"C10","10uF","C_0603_1608Metric",52.700000,-18.500000,-90.000000,top
"C11","0.1uF","C_0402_1005Metric",56.550000,-13.600000,90.000000,top
"C12","0.1uF","C_0402_1005Metric",59.050000,-13.650000,90.000000,top
"C18","6.8pF","C_0402_1005Metric",53.800000,-25.050000,90.000000,top
"C19","6.8pF","C_0402_1005Metric",52.800000,-25.050000,90.000000,top
"C20","0.1uF","C_0402_1005Metric",12.150000,-28.150000,-90.000000,top
"C52","0.1uF","C_0402_1005Metric",70.300000,-9.650000,0.000000,top
"C64","0.1uF","C_0402_1005Metric",61.050000,-10.850000,180.000000,top
"C65","10uF","C_0603_1608Metric",57.350000,-25.400000,0.000000,top
"C66","0.1uF","C_0402_1005Metric",57.900000,-6.600000,0.000000,top
"C67","0.1uF","C_0402_1005Metric",73.500000,-8.150000,0.000000,top
"C69","10uF","C_0603_1608Metric",60.500000,-9.600000,180.000000,top
"C70","0.1uF","C_0402_1005Metric",63.000000,-6.600000,180.000000,top
"C72","10uF","C_0603_1608Metric",60.300000,-38.400000,-90.000000,top
"C76","4.7uF","C_0402_1005Metric",57.865000,-33.735000,-90.000000,top
"C77","4.7uF","C_0402_1005Metric",69.600000,-14.600000,180.000000,top
"C79","6.8pF","C_0402_1005Metric",53.415000,-35.985000,0.000000,top
"C80","6.8pF","C_0402_1005Metric",68.450000,-19.100000,0.000000,top
"C83","10uF","C_0603_1608Metric",65.950000,-19.250000,180.000000,top
"C85","1uF","C_0402_1005Metric",51.450000,-36.000000,180.000000,top
"C98","0.1uF","C_0402_1005Metric",17.400000,-38.100000,0.000000,top
"C99","0.1uF","C_0402_1005Metric",10.400000,-39.600000,180.000000,top
"C100","6.8pF","C_0402_1005Metric",14.400000,-40.600000,180.000000,top
"C101","10uF","C_0603_1608Metric",14.600000,-35.800000,0.000000,top
"C102","0.1uF","C_0402_1005Metric",10.400000,-37.200000,-90.000000,top
"C103","10uF","C_0603_1608Metric",17.500000,-36.100000,90.000000,top
"C104","10uF","C_0603_1608Metric",10.200000,-34.000000,-90.000000,top
"C105","0.1uF","C_0402_1005Metric",12.900000,-12.100000,-90.000000,top
"C106","0.1uF","C_0402_1005Metric",9.850000,-11.550000,90.000000,top
"C107","6.8pF","C_0402_1005Metric",9.850000,-7.650000,-90.000000,top
"C108","10uF","C_0603_1608Metric",9.850000,-5.900000,180.000000,top
"C109","0.1uF","C_0402_1005Metric",12.400000,-5.200000,0.000000,top
"C110","10uF","C_0603_1608Metric",14.700000,-9.750000,90.000000,top
"C111","10uF","C_0603_1608Metric",23.350000,-6.450000,90.000000,top
"C112","0.1uF","C_0402_1005Metric",53.400000,-37.200000,0.000000,top
"C113","0.1uF","C_0402_1005Metric",55.900000,-38.300000,0.000000,top
"C114","6.8pF","C_0402_1005Metric",49.915000,-40.300000,0.000000,top
"C115","10uF","C_0603_1608Metric",46.200000,-37.800000,90.000000,top
"C116","0.1uF","C_0402_1005Metric",44.900000,-37.400000,90.000000,top
"C117","10uF","C_0603_1608Metric",21.700000,-39.800000,90.000000,top
"C118","10uF","C_0603_1608Metric",43.600000,-37.800000,90.000000,top
"C148","0.1uF","C_0402_1005Metric",52.800000,-27.150000,90.000000,top
"C165","150uF","CP_Elec_5x4.4",57.300000,-29.200000,180.000000,top
"CON1","JD1_0001NL","MAGJACK",72.500000,-37.525000,90.000000,top
"D1","RGB0404","0404LED_RGB",59.000000,-4.000000,0.000000,top
"D2","RGB0404","0404LED_RGB",61.000000,-4.000000,0.000000,top
"D3","RGB0404","0404LED_RGB",63.000000,-4.000000,0.000000,top
"D4","RGB0404","0404LED_RGB",65.000000,-4.000000,0.000000,top
"D5","RGB0404","0404LED_RGB",67.000000,-4.000000,0.000000,top
"D6","RGB0404","0404LED_RGB",69.000000,-4.000000,0.000000,top
"D7","RGB0404","0404LED_RGB",71.000000,-4.000000,0.000000,top
"FB5","100R","L_0603_1608Metric",61.800000,-12.150000,0.000000,top
"FB6","100R","L_0603_1608Metric",52.950000,-16.375000,0.000000,top
"FB7","100R","L_0603_1608Metric",66.300000,-22.600000,0.000000,top
"FID1","Fiducial","Fiducial_0.75mm_Mask1.5mm",7.000000,-47.000000,0.000000,top
"FID2","Fiducial","Fiducial_0.75mm_Mask1.5mm",3.000000,-3.000000,0.000000,top
"FID3","Fiducial","Fiducial_0.75mm_Mask1.5mm",62.000000,-47.000000,0.000000,top
"G***","LOGO","logo_name",35.275000,-12.575000,0.000000,top
"G***","LOGO","logo",53.000000,-10.600000,0.000000,top
"G***","LOGO","syzygy_logo",30.000000,-10.325000,0.000000,top
"G***","LOGO","syzygy_logo",10.500000,-19.800000,-90.000000,top
"G***","LOGO","syzygy_logo",32.775000,-38.650000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",77.850000,-14.000000,90.000000,top
"J3","SYZYGY-STD","SYZYGY_standard_carrier",5.000000,-24.500000,-90.000000,top
"J4","SYZYGY-STD","SYZYGY_standard_carrier",35.500000,-5.000000,180.000000,top
"J5","SYZYGY-TXR-4","SYZYGY_Transcieiver",37.000000,-44.000000,0.000000,top
"J6","Conn_01x06_Male","PinHeader_1x06_P2.54mm_Vertical",21.000000,-34.050000,90.000000,top
